,x,y,z,,,
311,92500.88652,438203.6861,25.6,0,0,0
312,92494.66935,438208.7206,3.83E-14,0,0,0
313,92494.66935,438208.7206,12.8,0,0,0
314,92494.66935,438208.7206,19.2,0,0,0
315,92494.66935,438208.7206,25.6,0,0,0
316,92494.66935,438208.7206,51.2,0,0,0
317,92491.56077,438211.2379,3.2,0,0,0
318,92491.56077,438211.2379,6.4,0,0,0
319,92491.56077,438211.2379,19.2,0,0,0
320,92491.56077,438211.2379,25.6,0,0,0
321,92491.56077,438211.2379,38.4,0,0,0
322,92410.73759,438276.6872,6.4,0,0,0
323,92407.62901,438279.2045,-1.12E-11,0,0,0
324,92407.62901,438279.2045,12.8,0,0,0
325,92404.52042,438281.7218,3.2,0,0,0
326,92404.52042,438281.7218,6.4,0,0,0
327,92404.52042,438281.7218,12.8,0,0,0
328,92398.30325,438286.7564,6.4,0,0,0
329,92398.30325,438286.7564,9.6,0,0,0
330,92395.19467,438289.2736,3.2,0,0,0
331,92395.19467,438289.2736,6.4,0,0,0
332,92509.62097,438201.7601,-6.01E-13,0,0,0
333,92509.62097,438201.7601,22.4,0,0,0
334,92509.62097,438201.7601,32,0,0,0
335,92509.62097,438201.7601,48,0,0,0
336,92509.62097,438201.7601,51.2,0,0,0
337,92509.62097,438201.7601,54.4,0,0,0
338,92506.51239,438204.2774,28.8,0,0,0
339,92506.51239,438204.2774,41.6,0,0,0
340,92503.4038,438206.7947,12.8,0,0,0
341,92503.4038,438206.7947,25.6,0,0,0
342,92500.29522,438209.3119,6.4,0,0,0
343,92500.29522,438209.3119,19.2,0,0,0
344,92500.29522,438209.3119,28.8,0,0,0
345,92497.18664,438211.8292,16,0,0,0
346,92497.18664,438211.8292,28.8,0,0,0
347,92494.07805,438214.3465,12.8,0,0,0
348,92494.07805,438214.3465,22.4,0,0,0
349,92490.96947,438216.8638,3.2,0,0,0
350,92413.25487,438279.7958,9.6,0,0,0
351,92407.0377,438284.8304,3.2,0,0,0
352,92407.0377,438284.8304,6.4,0,0,0
353,92407.0377,438284.8304,12.8,0,0,0
354,92400.82054,438289.8649,2.43E-12,0,0,0
355,92400.82054,438289.8649,6.4,0,0,0
356,92400.82054,438289.8649,12.8,0,0,0
357,92397.71195,438292.3822,12.8,0,0,0
358,92512.13825,438204.8687,6.4,0,0,0
359,92512.13825,438204.8687,54.4,0,0,0
360,92505.92108,438209.9032,16,0,0,0
361,92505.92108,438209.9032,22.4,0,0,0
362,92502.8125,438212.4205,19.2,0,0,0
363,92502.8125,438212.4205,28.8,0,0,0
364,92499.70392,438214.9378,9.6,0,0,0
365,92499.70392,438214.9378,16,0,0,0
366,92499.70392,438214.9378,48,0,0,0
367,92496.59533,438217.4551,3.2,0,0,0
368,92496.59533,438217.4551,16,0,0,0
369,92496.59533,438217.4551,25.6,0,0,0
370,92493.48675,438219.9724,-1.73E-12,0,0,0
371,92493.48675,438219.9724,12.8,0,0,0
372,92493.48675,438219.9724,16,0,0,0
373,92493.48675,438219.9724,19.2,0,0,0
374,92493.48675,438219.9724,41.6,0,0,0
375,92415.77215,438282.9044,6.4,0,0,0
376,92412.66357,438285.4217,4.21E-13,0,0,0
377,92412.66357,438285.4217,3.2,0,0,0
378,92412.66357,438285.4217,9.6,0,0,0
379,92412.66357,438285.4217,16,0,0,0
380,92403.33782,438292.9735,6.4,0,0,0
381,92403.33782,438292.9735,12.8,0,0,0
382,92514.65553,438207.9773,12.8,0,0,0
383,92511.54695,438210.4945,28.8,0,0,0
384,92508.43837,438213.0118,9.6,0,0,0
385,92508.43837,438213.0118,16,0,0,0
386,92508.43837,438213.0118,22.4,0,0,0
387,92499.11261,438220.5637,25.6,0,0,0
388,92418.28943,438286.013,3.2,0,0,0
389,92415.18085,438288.5303,1.20E-11,0,0,0
390,92415.18085,438288.5303,6.4,0,0,0
391,92408.96368,438293.5648,3.25E-12,0,0,0
392,92408.96368,438293.5648,3.2,0,0,0
393,92408.96368,438293.5648,16,0,0,0
394,92402.74652,438298.5994,1.31E-11,0,0,0
395,92517.17282,438211.0858,12.8,0,0,0
396,92514.06423,438213.6031,22.4,0,0,0
397,92510.95565,438216.1204,16,0,0,0
398,92510.95565,438216.1204,19.2,0,0,0
399,92504.73848,438221.155,9.6,0,0,0
400,92504.73848,438221.155,51.2,0,0,0
401,92501.6299,438223.6722,3.07E-12,0,0,0
402,92501.6299,438223.6722,12.8,0,0,0
403,92501.6299,438223.6722,25.6,0,0,0
404,92498.52131,438226.1895,38.4,0,0,0
405,92417.69813,438291.6388,3.77E-12,0,0,0
406,92417.69813,438291.6388,9.6,0,0,0
407,92414.58955,438294.1561,3.2,0,0,0
408,92405.2638,438301.708,9.6,0,0,0
409,92519.6901,438214.1944,22.4,0,0,0
410,92516.58151,438216.7117,4.79E-12,0,0,0
411,92516.58151,438216.7117,6.4,0,0,0
412,92516.58151,438216.7117,16,0,0,0
413,92510.36435,438221.7463,-3.29E-12,0,0,0
414,92510.36435,438221.7463,6.4,0,0,0
415,92510.36435,438221.7463,48,0,0,0
416,92507.25576,438224.2635,6.4,0,0,0
417,92507.25576,438224.2635,9.6,0,0,0
418,92507.25576,438224.2635,16,0,0,0
419,92507.25576,438224.2635,22.4,0,0,0
420,92501.03859,438229.2981,9.6,0,0,0
421,92501.03859,438229.2981,22.4,0,0,0
422,92420.21541,438294.7474,6.4,0,0,0
423,92420.21541,438294.7474,9.6,0,0,0
424,92417.10683,438297.2647,3.2,0,0,0
425,92417.10683,438297.2647,6.4,0,0,0
426,92413.99825,438299.782,9.6,0,0,0
427,92413.99825,438299.782,12.8,0,0,0
428,92413.99825,438299.782,16,0,0,0
429,92410.88966,438302.2993,7.33E-12,0,0,0
430,92410.88966,438302.2993,3.2,0,0,0
431,92519.09879,438219.8203,6.4,0,0,0
432,92519.09879,438219.8203,28.8,0,0,0
433,92515.99021,438222.3376,6.4,0,0,0
434,92515.99021,438222.3376,16,0,0,0
435,92515.99021,438222.3376,19.2,0,0,0
436,92512.88163,438224.8549,19.2,0,0,0
437,92512.88163,438224.8549,28.8,0,0,0
438,92509.77304,438227.3721,16,0,0,0
439,92509.77304,438227.3721,22.4,0,0,0
440,92506.66446,438229.8894,3.2,0,0,0
441,92506.66446,438229.8894,12.8,0,0,0
442,92506.66446,438229.8894,16,0,0,0
443,92506.66446,438229.8894,25.6,0,0,0
444,92503.55588,438232.4067,1.22E-13,0,0,0
445,92503.55588,438232.4067,12.8,0,0,0
446,92503.55588,438232.4067,22.4,0,0,0
447,92410.29836,438307.9251,6.4,0,0,0
448,92524.72466,438220.4116,-3.88E-12,0,0,0
449,92524.72466,438220.4116,12.8,0,0,0
450,92524.72466,438220.4116,19.2,0,0,0
451,92521.61608,438222.9289,16,0,0,0
452,92521.61608,438222.9289,19.2,0,0,0
453,92521.61608,438222.9289,22.4,0,0,0
454,92518.50749,438225.4462,3.2,0,0,0
455,92518.50749,438225.4462,6.4,0,0,0
456,92518.50749,438225.4462,22.4,0,0,0
457,92509.18174,438232.998,4.25E-13,0,0,0
458,92428.35856,438298.4473,-9.12E-12,0,0,0
459,92425.24998,438300.9646,-4.35E-12,0,0,0
460,92422.14139,438303.4819,12.8,0,0,0
461,92415.92423,438308.5164,9.6,0,0,0
462,92412.81564,438311.0337,5.00E-13,0,0,0
463,92412.81564,438311.0337,9.6,0,0,0
464,92527.24194,438223.5202,25.6,0,0,0
465,92524.13336,438226.0375,16,0,0,0
466,92521.02477,438228.5547,19.2,0,0,0
467,92517.91619,438231.072,6.4,0,0,0
468,92517.91619,438231.072,22.4,0,0,0
469,92511.69902,438236.1066,16,0,0,0
470,92511.69902,438236.1066,19.2,0,0,0
471,92508.59044,438238.6239,6.4,0,0,0
472,92508.59044,438238.6239,19.2,0,0,0
473,92430.87584,438301.5559,3.2,0,0,0
474,92430.87584,438301.5559,12.8,0,0,0
475,92427.76726,438304.0732,12.8,0,0,0
476,92418.44151,438311.625,3.2,0,0,0
477,92415.33292,438314.1423,6.4,0,0,0
478,92529.75922,438226.6288,12.8,0,0,0
479,92529.75922,438226.6288,25.6,0,0,0
480,92526.65064,438229.146,19.2,0,0,0
481,92523.54206,438231.6633,-8.42E-13,0,0,0
482,92523.54206,438231.6633,16,0,0,0
483,92520.43347,438234.1806,12.8,0,0,0
484,92517.32489,438236.6979,12.8,0,0,0
485,92517.32489,438236.6979,16,0,0,0
486,92514.2163,438239.2152,3.58E-12,0,0,0
487,92514.2163,438239.2152,12.8,0,0,0
488,92511.10772,438241.7324,12.8,0,0,0
489,92511.10772,438241.7324,16,0,0,0
490,92433.39312,438304.6645,6.4,0,0,0
491,92433.39312,438304.6645,9.6,0,0,0
492,92424.06737,438312.2163,3.2,0,0,0
493,92424.06737,438312.2163,9.6,0,0,0
494,92420.95879,438314.7336,9.6,0,0,0
495,92420.95879,438314.7336,16,0,0,0
496,92529.16792,438232.2546,12.8,0,0,0
497,92529.16792,438232.2546,16,0,0,0
498,92522.95075,438237.2892,3.2,0,0,0
499,92522.95075,438237.2892,6.4,0,0,0
500,92522.95075,438237.2892,19.2,0,0,0
501,92519.84217,438239.8065,-9.30E-12,0,0,0
502,92519.84217,438239.8065,6.4,0,0,0
503,92519.84217,438239.8065,19.2,0,0,0
504,92516.73359,438242.3237,3.2,0,0,0
505,92513.625,438244.841,3.2,0,0,0
506,92513.625,438244.841,9.6,0,0,0
507,92513.625,438244.841,12.8,0,0,0
508,92435.91041,438307.7731,4.97E-12,0,0,0
509,92426.58465,438315.3249,6.4,0,0,0
510,92423.47607,438317.8422,12.8,0,0,0
511,92534.79379,438232.8459,1.02E-12,0,0,0
512,92534.79379,438232.8459,9.6,0,0,0
513,92534.79379,438232.8459,12.8,0,0,0
514,92531.6852,438235.3632,-6.85E-12,0,0,0
515,92531.6852,438235.3632,6.4,0,0,0
516,92531.6852,438235.3632,16,0,0,0
517,92528.57662,438237.8805,-2.09E-12,0,0,0
518,92525.46804,438240.3978,19.2,0,0,0
519,92522.35945,438242.9151,-1.13E-11,0,0,0
520,92516.14228,438247.9496,12.8,0,0,0
521,92438.42769,438310.8817,-2.39E-12,0,0,0
522,92422.88477,438323.4681,3.2,0,0,0
